"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"196","10","620","Bl","3","1992","Live",NA,NA,"Snowpress",NA,NA,NA,NA,NA,NA,NA,NA,4,6
"197","10","620","Bl","3","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6
"198","10","620","Bl","3","1997","Live",NA,NA,"DBH 1.1m",NA,NA,NA,NA,NA,NA,NA,NA,4,6
"199","10","620","Bl","3","2009","Live",NA,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,6
"200","10","620","Bl","3","2019","Live",8.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6
"201","10","621","Bl","3","1992","Live",NA,NA,"Snowpress",NA,NA,NA,NA,NA,NA,NA,NA,4,5
"202","10","621","Bl","3","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"203","10","621","Bl","3","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"204","10","621","Bl","3","2009","Live",8.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5
"205","10","621","Bl","3","2019","Live",10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"206","10","624","Bl","4","1992","Live",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"207","10","624","Bl","4","1994","Live",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"208","10","624","Bl","4","1997","Live",7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"209","10","624","Bl","4","2009","Live",8.3,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,9
"210","10","624","Bl","4","2019","Live",8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"211","10","626","Sx","4","1992","Live",38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"212","10","626","Sx","4","1994","Live",39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"213","10","626","Sx","4","1997","Live",40.4,NA,"Dbh at 1.1m",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"214","10","626","Sx","4","2009","Dead",40.4,NA,"Dead snag - woodpecker holes at base",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"215","10","626","Sx","4","2019","Live",NA,NA,"dead snag",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"216","10","628","Bl","4","1992","Live",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,4
"217","10","628","Bl","4","1994","Live",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,4
"218","10","628","Bl","4","1997","Live",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,4
"219","10","628","Bl","4","2009","Live",8.2,NA,"Live",NA,NA,NA,2,NA,NA,NA,NA,4,4
"220","10","628","Bl","4","2019","Dead",8.2,NA,"actual tree dead (silver tag)",NA,NA,NA,2,NA,NA,NA,NA,4,4
"221","10","629","Sx","4","1992","Live",29.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,7
"222","10","629","Sx","4","1994","Live",30.4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,7
"223","10","629","Sx","4","1997","Live",30.9,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,7
"224","10","629","Sx","4","2009","Live",33.2,NA,"Live with crooked top",NA,NA,NA,3,NA,NA,NA,NA,2,7
"225","10","629","Sx","4","2019","Live",34.3,7.3,"IBS",NA,NA,NA,3,NA,NA,NA,NA,2,7
"226","10","630","Bl","4","1992","Live",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,7
"227","10","630","Bl","4","1994","Live",7.9,NA,"On bdy 3 - 4",NA,NA,NA,5,NA,NA,NA,NA,4,7
"228","10","630","Bl","4","1997","Live",8.3,NA,"DBh at 1.4",NA,NA,NA,5,NA,NA,NA,NA,4,7
"229","10","630","Bl","4","2009","Live",9.8,NA,"Live",NA,NA,NA,5,NA,NA,NA,NA,4,7
"230","10","630","Bl","4","2019","Live",11.5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,7
"231","10","631","Bl","1","1992","Live",NA,NA,"Natural; AB; Snowpress",NA,NA,NA,NA,NA,NA,NA,NA,4,7
"232","10","631","Bl","1","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7
